"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SOCS1",-1.10623531587179,5.27090387303509,-4.45313216013205,3.70711319918071e-05,0.000162509497219899,1.82717264309677
"NOD2",-1.30067762792735,4.92932527698246,-4.44737115686296,3.78271942517346e-05,0.000164865343732994,1.80787822344186
"TRAF2",-0.749138466666667,7.48494651389474,-4.42868763484655,4.03837951772671e-05,0.000174996445768158,1.74539038173605
"CCL8",-1.25243164940171,4.51262771778948,-4.41688247720194,4.20849714257533e-05,0.000181326105457245,1.70597561850077
"TNFRSF17",-1.57195373329915,3.97211081931579,-4.41357356472769,4.25741686060439e-05,0.000182391608687256,1.69493741464965
"CCL2",-1.20968700810256,7.13610904182456,-4.41016288129635,4.30841953753674e-05,0.000183533804028401,1.68356408316846
"CYLD",-0.683572710371795,7.49643413010526,-4.34979323880756,5.31583408201038e-05,0.000225176342575046,1.48299592364744
"TCF7",-0.913201630628205,5.85272096582456,-4.32990679054575,5.69521730387939e-05,0.000238870135443456,1.41723774117988
"LTA",-0.932125210474359,3.71543897301754,-4.32953927822835,5.70247007689947e-05,0.000238870135443456,1.41602396340755
"RELB",-0.951805349705128,6.24320579510526,-4.32352184710516,5.82250535459431e-05,0.000242550775544978,1.39615788977968
"CDK1",-1.08577572877778,7.45228553073684,-4.31066455612228,6.08725357552683e-05,0.00025218621955754,1.35375877217532
"TNFSF14",-1.30976081126068,4.43812683463158,-4.27929856649225,6.78304697689562e-05,0.00027947636178029,1.25060165908411
"TLR4",-0.903211306623931,5.87607653436842,-4.24644800570338,7.59428748600523e-05,0.000311200693719997,1.14298899338515
"EOMES",-0.985916218662393,3.42891482026316,-4.22658705837316,8.1295399477469e-05,0.000331333682194658,1.0781424710251
"TBX21",-1.02832184990171,4.30642429808772,-4.21592138523862,8.43187627452275e-05,0.00034180831779517,1.04338606496803
"SH2D1B",-1.04114035052564,3.01942506470175,-4.2110543202308,8.57343224216825e-05,0.000345688123561223,1.02754138504056
"CD19",-1.28825096504701,4.3299318848772,-4.20442487258946,8.7699523612557e-05,0.000351731068105681,1.00597517015497
"FLT3LG",-0.887004134294872,5.57927261673684,-4.14860963660378,0.000106066790605157,0.000423144762520043,0.825136270855462
"SH2B2",-0.937470279615385,4.97824727275438,-4.13365906076967,0.000111586687982491,0.000442822961783149,0.776922087767439
