"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HLA-DPB1",-1.36448292043162,8.69091376085965,-6.75289808657007,6.34830685854756e-09,9.38553602224482e-08,10.2133162133937
"LCK",-1.80714313389316,5.4633608191579,-6.74467500664453,6.5568216186447e-09,9.50739134703481e-08,10.181861560072
"JAK3",-1.50308328885897,6.39496684033333,-6.72722542048721,7.02216603992789e-09,9.99002489453893e-08,10.1151295765977
"BTLA",-1.63478569167949,3.71035517168421,-6.683383487361,8.34163061661845e-09,1.15695327768808e-07,9.94756256732183
"HLA-A",-1.5066731407735,11.2229944239123,-6.68041799688797,8.43931435979368e-09,1.15695327768808e-07,9.93623337843472
"HLA-DRA",-1.6499437066453,10.5242823185263,-6.66540649505718,8.95154806065453e-09,1.20526200673813e-07,9.87889454008449
"CSF2RB",-1.86739184929487,6.83902004021052,-6.65571287103134,9.29865114042269e-09,1.23003209822434e-07,9.84187738139895
"CD5",-1.64097399861111,5.25306937931579,-6.60523682877044,1.13345865604219e-08,1.47349625285485e-07,9.64924420918462
"TIGIT",-1.62014412932906,5.31815519482456,-6.59906573506065,1.1612152107947e-08,1.48399367616814e-07,9.62570751295636
"ZAP70",-1.6850252504188,5.650457809,-6.5730318451321,1.2859531706234e-08,1.61601448441674e-07,9.52644891026086
"CCR5",-1.84712323125641,4.45249385489474,-6.56633923396038,1.32011914178802e-08,1.62167627991272e-07,9.50094155371797
"SELL",-1.9637215996282,4.89626011838596,-6.56376998272339,1.33347386411921e-08,1.62167627991272e-07,9.49115047062079
"ITGB2",-1.53492722548291,6.98719112552632,-6.50643461269764,1.66908334354275e-08,1.99760133497021e-07,9.27280536628006
"HLA-E",-1.10122045376068,9.67756520836842,-6.50112940751525,1.70409289954847e-08,2.00763444728054e-07,9.25261715968111
"CD38",-1.98261302638461,5.06059081692982,-6.48558907173427,1.81090422908658e-08,2.10064890574043e-07,9.19349579009694
"HLA-B",-1.64050085338034,11.8021832097018,-6.47264493352869,1.9049352383944e-08,2.17624419658997e-07,9.1442688338344
"CD8A",-1.78821960282906,5.62839834084211,-6.45733194843542,2.02246169201141e-08,2.27602405339791e-07,9.08605392770657
"SELPLG",-1.45251126314102,5.200855635,-6.45078106947532,2.0749156347836e-08,2.3007152773924e-07,9.06115663884806
"CD53",-1.60317049094017,7.29557989415789,-6.44370097121589,2.13312897126647e-08,2.33098441207959e-07,9.03425275393907
"C1QA",-1.70795369047863,7.62121120359649,-6.41267334057175,2.40799727745833e-08,2.59351298604181e-07,8.91640909032983
"FCER1G",-1.43796439424786,7.90978064278947,-6.40700526444526,2.46188592824345e-08,2.59351298604181e-07,8.89489217688578
"PSMB8",-1.35397534483761,8.44915587875438,-6.40548275910953,2.47656412460226e-08,2.59351298604181e-07,8.88911306960769
"PIK3CG",-1.68594768861539,5.01907191336842,-6.39089004333142,2.62173738610978e-08,2.70793149195449e-07,8.83373441675325
"CD74",-1.6087716144359,11.4394914477018,-6.36432637435812,2.90804796339685e-08,2.96306508702868e-07,8.73298411868218
"LCP1",-1.79366638416239,7.89291597063158,-6.35294940813725,3.03998238365672e-08,3.05619562303622e-07,8.68985684938485
"MS4A1",-2.64118406771367,3.58993006612281,-6.32897629305069,3.33777646912424e-08,3.31142560226273e-07,8.59902702511056
"C1QB",-1.71016483805128,7.89362488592982,-6.3115976293326,3.5716077270807e-08,3.49739250158292e-07,8.53322236481393
"TNF",-1.71809458163248,5.04743197573684,-6.22630098065501,4.97736465848765e-08,4.81145250320473e-07,8.21075218073909
"AMICA1",-1.62218007474359,5.80811139605263,-6.19707540791776,5.57580466952732e-08,5.32171736813114e-07,8.10046476762814
"CD3G",-1.58461548832906,3.44356015866667,-6.11791435416172,7.57971571688637e-08,7.1438820631654e-07,7.80228661858908
"SLAMF6",-1.61702629367521,3.16390489468421,-6.10815013796018,7.87187834707108e-08,7.3276497206069e-07,7.76556496331289
"SLAMF1",-1.76723050597436,3.36759038261403,-6.08232838689774,8.69944775048844e-08,7.93410736815024e-07,7.66851635114039
"LAG3",-1.7435168232265,5.29212973931579,-6.07782159643482,8.85248413912277e-08,7.93410736815024e-07,7.65158746179001
"CD37",-1.63394417765385,4.48250785859649,-6.07701679544206,8.88009223078448e-08,7.93410736815024e-07,7.64856468039154
"TAP2",-1.43932183511966,7.98127260278947,-6.07515505476197,8.94428549459908e-08,7.93410736815024e-07,7.64157244784514
"TNFRSF9",-1.46565122748291,4.24149292014035,-6.06004279846735,9.48267676293055e-08,8.31388172005771e-07,7.58483261874622
"TNFAIP3",-1.59901615655555,7.52096345650877,-6.0516076533408,9.79703627941488e-08,8.4907647754929e-07,7.55317644230701
"MARCO",-1.93310270202991,5.59663227845614,-6.03631529618359,1.039351989082e-07,8.90535681554349e-07,7.49581185593001
"TNFRSF1B",-1.27305161326068,6.41261768694737,-5.98761160982922,1.25436204768516e-07,1.06268425163439e-06,7.31334232963802
"PIK3CD",-1.21890308682479,6.23527679750877,-5.97722461244017,1.30563217231048e-07,1.09382961991345e-06,7.27447288286164
"TNFSF13B",-1.37528301275641,5.6119465411579,-5.95143276563768,1.44209535534256e-07,1.19487900871241e-06,7.17802759807771
"CD6",-1.40341084202991,4.49064046147369,-5.94578730405059,1.4738003704436e-07,1.20787552099399e-06,7.15693078354451
"PDCD1LG2",-1.26515390375641,4.42261467652632,-5.92422885872915,1.60135472580857e-07,1.2983026486663e-06,7.0764136952584
"CXCL13",-2.47141292731624,6.07559303029824,-5.89556758644426,1.78800710326818e-07,1.43420995304703e-06,6.96948273404816
"STAT1",-1.42952839259402,8.78512182449123,-5.88933152941447,1.83138839830379e-07,1.4535440550748e-06,6.94623441043557
"ICAM1",-1.71168316125641,7.43852614598246,-5.87445464225717,1.93913393294148e-07,1.52302810983112e-06,6.89079820382178
"C2",-1.22935252945726,6.19434699859649,-5.85126687924427,2.11971091015932e-07,1.64769281057745e-06,6.80446553038911
"CCL18",-2.62243637783333,4.72495969014035,-5.83844341846512,2.22662265046753e-07,1.71313620250257e-06,6.75675969870982
"CTSW",-1.67439955447436,4.30121950059649,-5.83055021178534,2.29506567697053e-07,1.74342341060167e-06,6.7274091686378
"HLA-DPA1",-1.46079741002564,8.89216040642105,-5.82860697757518,2.31223264005526e-07,1.74342341060167e-06,6.72018495960637
"HLA-DOB",-1.50912602052564,5.84882917361404,-5.81302219340942,2.45458781425347e-07,1.83243486331398e-06,6.66226991565046
"TLR8",-1.14140429996581,3.69186358226316,-5.78333604685383,2.75015996829383e-07,2.03296138832701e-06,6.55206828763551
"CD79A",-2.20075001480342,5.56151304247369,-5.72259506842215,3.46900344687349e-07,2.53944524169186e-06,6.32707005820342
"LY9",-1.49236527419231,4.00493601987719,-5.7168340209364,3.54614256869326e-07,2.57095336230262e-06,6.30576452094103
"CYBB",-1.62933204387607,6.83419930289474,-5.70953198639072,3.64635628588316e-07,2.61165727044749e-06,6.27876888153201
"CTSS",-1.6540455014359,7.70451405942105,-5.70772671067497,3.67156061893149e-07,2.61165727044749e-06,6.27209629224882
"CD79B",-1.90619562486752,5.60132434147368,-5.67799512952756,4.11231371984e-07,2.89783602313959e-06,6.16229102774092
"SH2D1A",-1.67635209341453,3.83726348507017,-5.64218678117082,4.71301176873936e-07,3.29038043854581e-06,6.0302652183081
"CCR7",-1.72581223768376,3.52164492024561,-5.62281761533194,5.07325908052789e-07,3.5093920612092e-06,5.95895408478731
"CD80",-1.37419048914957,4.18299995122807,-5.60683398216596,5.39091807061497e-07,3.69522929567608e-06,5.90016286590384
"KLRC2",-1.66274204747436,4.04760643559649,-5.60025940657837,5.52721269419116e-07,3.75452105533345e-06,5.87599486451232
"IRF4",-2.12317009486325,6.32327314550877,-5.590893019137,5.72727931669944e-07,3.85568625427802e-06,5.84157911902816
"GZMH",-1.36096063918376,3.9129122388421,-5.53072744657308,7.19411047062906e-07,4.80031796004806e-06,5.62093195100343
"IKBKE",-1.00816519740598,6.94665000605263,-5.39376453698423,1.20585255823573e-06,7.97555113078719e-06,5.12150936619778
"CXCL11",-2.20780593516667,6.33343236807018,-5.37059355403995,1.31547586082948e-06,8.62494607882983e-06,5.03743115922244
"ETS1",-1.00031805649145,7.33936524119298,-5.27273363795106,1.89730890124998e-06,1.23325078581249e-05,4.68372553310401
"ITGA4",-1.17704785549573,5.81367979459649,-5.24751507871924,2.0843981464296e-06,1.34327880547685e-05,4.59295014413946
"ADAM8",-1.22060720357692,7.19386334868421,-5.23788902337139,2.16050029533313e-06,1.3805230700688e-05,4.55834227513142
